schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,treatment,model,scenario,evaluation_pass,collection_fraction
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09322166442871094,0.11401176452636715,0.34308433532714844,,,,,,,,,,102025,202025,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.10395050048828125,0.12525320053100578,0.49495697021484375,,,,,,,,,,102026,202026,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.10347366333007812,0.14139413833618142,0.6000995635986328,,,,,,,,,,102026,202026,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,45,0,44,400,0.11,True,step_limit,7efded98a69339117f6310c9c7b1649280f748c7a6efec56302fe84e73e75973,45,44,89,44,133,45,0,0.06103515625,0.11588335037231444,0.3631114959716797,,,,,,,,,,102027,202027,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,45,0,44,400,0.11,True,step_limit,7efded98a69339117f6310c9c7b1649280f748c7a6efec56302fe84e73e75973,45,44,89,44,133,45,0,0.060558319091796875,0.13208389282226562,0.6163120269775391,,,,,,,,,,102027,202027,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09703636169433594,0.3148794174194334,0.6299018859863281,,,,,,,,,,102028,202028,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09107589721679688,0.1171708106994628,0.31280517578125,,,,,,,,,,102028,202028,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,7,7,0,0,9,0,4,1,1,1,7,0.14285714285714285,False,killed,27a4d75eb4e124b29def5619c1b6a00d470b47004c89abc1b80f219fb7217e3d,0,1,0,2,2,2,0,0.12493133544921875,1.105093955993652,1.2919902801513672,,,,,,,,,,102029,202029,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,7,7,0,0,9,0,4,1,1,1,7,0.14285714285714285,False,killed,27a4d75eb4e124b29def5619c1b6a00d470b47004c89abc1b80f219fb7217e3d,0,1,0,2,2,2,0,0.07581710815429688,0.8225679397583001,1.1010169982910156,,,,,,,,,,102029,202029,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.11038780212402344,0.1562118530273437,0.49996376037597656,,,,,,,,,,102030,202030,unmasked,r1,classic,primary,0.0
