schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,arm,replica,scenario,pass,collection_fraction
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,1,400,0.0025,True,step_limit,c11dce05c3f39f908752b97a3f80ab6e1b2239b25850500905efa2c40e90b0b5,197,1,198,1,2,1,0,0.09608268737792969,0.13130903244018538,0.40602684020996094,,,,,,,,,,104007,204007,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,22dca40840b524fe41c5c274828b562e7f37bd5ddabfcf44dc084a9cbb6fcfb9,201,0,199,0,0,0,0,0.10180473327636719,0.2246260643005347,1.4498233795166016,,,,,,,,,,104008,204008,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.1628398895263672,0.6792068481445303,3.185749053955078,,,,,,,,,,104009,204009,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,1,400,0.0025,True,step_limit,ec6b7e1355e9f3b6b2ca9ebd0b5d22bca60703d42e7c7cc6005fcda96d5802fb,4,1,1,1,392,1,0,0.1938343048095703,0.7251739501953115,2.5069713592529297,,,,,,,,,,104010,204010,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09703636169433594,0.20195245742797852,0.5550384521484375,,,,,,,,,,104011,204011,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,1,400,0.0025,True,step_limit,b887803851759a1ecc4759708892e5b94ccf35b51b83fb2599d73ee60d09fba6,197,1,196,2,3,1,0,0.11014938354492188,0.1438379287719726,0.5681514739990234,,,,,,,,,,104012,204012,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09703636169433594,0.18910169601440427,0.5872249603271484,,,,,,,,,,104013,204013,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.11456012725830078,0.4024863243103023,0.9326934814453125,,,,,,,,,,104014,204014,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.10347366333007812,0.2807259559631334,1.0859966278076172,,,,,,,,,,104015,204015,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09465217590332031,0.13899803161621094,0.4458427429199219,,,,,,,,,,104016,204016,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,1,1,50,1,3,1,0,1,400,0.0025,True,step_limit,0da868bc0c7acb97b65edcc501ad0135e894a43a76cd783c4bf9cca4fede56f5,197,1,198,1,2,1,0,0.11587142944335938,0.2899289131164551,1.6450881958007812,,,,,,,,,,104017,204017,control,r5,loot-crate,primary,0.02
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,2,3,1,0,0,400,0.0,True,step_limit,91c2ab0c22a011f03ad3ad17000ba7e7eae60ba9bb65c8290d6bb2861ec051da,197,1,197,1,3,1,0,0.11014938354492188,0.28406381607055653,0.9520053863525391,,,,,,,,,,104018,204018,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09799003601074219,0.24743080139159943,0.6892681121826172,,,,,,,,,,104019,204019,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,5,5,0,0,50,1,1,1,1,1,5,0.2,False,killed,73ebfd715676755860c028aba68cf8127db5f307be68d092ba1e9d793d73a3d4,0,1,1,0,2,1,0,0.07009506225585938,0.32496452331542963,0.3819465637207031,,,,,,,,,,104020,204020,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.1010894775390625,0.2701282501220703,0.9562969207763672,,,,,,,,,,104021,204021,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09918212890625,0.22159814834594696,0.5571842193603516,,,,,,,,,,104022,204022,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.102996826171875,0.12998580932617182,0.3540515899658203,,,,,,,,,,104023,204023,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,16,16,1,1,50,3,6,2,1,1,16,0.0625,False,killed,51acdf744798755261e31b7c054cb31dcd35ab697f0b12a33f7453fb402141ed,2,2,5,1,4,2,0,0.1513957977294922,0.361025333404541,0.5049705505371094,,,,,,,,,,104024,204024,control,r5,loot-crate,primary,0.02
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,3,3,1,0,393,400,0.9825,True,step_limit,a61576ec57ce6408126ee64914387f91ccd26bff17786af1f7628bf61ee0e557,1,1,394,0,3,1,0,0.07915496826171875,0.11615753173828121,0.3380775451660156,,,,,,,,,,104025,204025,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,2,1,0,2,400,0.005,True,step_limit,da51367b1f04bfe084321a4a5185196c9d145e5f498e40eb6d253a3c484fc996,3,197,1,197,1,1,0,0.1233816146850586,0.35310983657836803,1.1699199676513672,,,,,,,,,,104026,204026,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,390,400,0.975,True,step_limit,3062fcc0fdd6d124694d5083531518e93bb9ebae96a8d9adf6f5026c133743ca,1,391,3,1,3,1,0,0.12099742889404297,0.3991842269897458,0.8571147918701172,,,,,,,,,,104027,204027,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,1,400,0.0025,True,step_limit,b887803851759a1ecc4759708892e5b94ccf35b51b83fb2599d73ee60d09fba6,197,1,196,2,3,1,0,0.1266002655029297,0.30484199523925704,0.6546974182128906,,,,,,,,,,104028,204028,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.11301040649414062,0.39423704147338834,1.4219284057617188,,,,,,,,,,104029,204029,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,391,400,0.9775,True,step_limit,096ac3946bfab052930ae84775e2e567468c64fd21783758e1accbd6632f97bc,2,391,3,1,2,1,0,0.11038780212402344,0.280332565307617,1.1968612670898438,,,,,,,,,,104030,204030,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.11456012725830078,0.3301143646240233,0.6859302520751953,,,,,,,,,,104031,204031,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.10204315185546875,0.1867890357971186,0.5679130554199219,,,,,,,,,,104032,204032,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,3,1,0,0,400,0.0,True,step_limit,d93b9caf97e7000195d517690cc284de997f7f4c21f5b7b5798e4d97c71f8a5b,197,1,197,1,3,1,0,0.12278556823730469,0.3985047340393063,0.6837844848632812,,,,,,,,,,104033,204033,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09608268737792969,0.14404058456420896,0.4379749298095703,,,,,,,,,,104034,204034,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,2,3,1,0,0,400,0.0,True,step_limit,91c2ab0c22a011f03ad3ad17000ba7e7eae60ba9bb65c8290d6bb2861ec051da,197,1,197,1,3,1,0,0.12087821960449219,0.3276705741882308,1.153707504272461,,,,,,,,,,104035,204035,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.14650821685791016,0.6332635879516588,4.114866256713867,,,,,,,,,,104036,204036,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.1615285873413086,0.592362880706787,3.690958023071289,,,,,,,,,,104037,204037,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.1169443130493164,0.5324721336364733,6.189107894897461,,,,,,,,,,104038,204038,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,3,1,0,1,400,0.0025,True,step_limit,c11dce05c3f39f908752b97a3f80ab6e1b2239b25850500905efa2c40e90b0b5,197,1,198,1,2,1,0,0.1049041748046875,0.12494325637817381,0.3509521484375,,,,,,,,,,104039,204039,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,3,1,0,1,400,0.0025,True,step_limit,8e174b110abcef02c2bdb3c3c17c27fe29b1f64f11f279dc854445b01d9971ba,198,1,197,1,2,1,0,0.09608268737792969,0.15884637832641596,0.743865966796875,,,,,,,,,,104040,204040,control,r5,loot-crate,primary,0.0
1,1,_run_plan_4971900ecd_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.1245737075805664,0.3524065017700191,0.8099079132080078,,,,,,,,,,102001,202001,candidate,r1,classic,primary,0.0
1,1,_run_plan_4971900ecd_82f3e9c695,evaluation,400,400,0,0,9,1,3,2,0,1,400,0.0025,True,step_limit,562bfd7a915f8b2fde50f2427a17b26225c5b8bcd5cb82044b0af51c641f800f,2,1,2,5,388,2,0,0.09489059448242188,0.3772139549255358,0.8931159973144531,,,,,,,,,,102002,202002,candidate,r1,classic,primary,0.0
