replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r5,coincollector,186212,286212,0.2222222222222222,0,0,2,2,1.6083002090454086,2.0220279693603516,b44619a4e35ccde3780d885d2ac4cf2956014468c3fe23e14ae29940661da2d3,False
r5,coincollector,186213,286213,0.5555555555555556,0,1,5,5,1.5392780303955076,2.3980140686035156,7902beeb28e2965ef0e2bae4d459d8fba875f99184e47aa3729b2d109d2ac4eb,False
r5,coincollector,186214,286214,0.2222222222222222,0,1,2,7,1.1219978332519531,1.7848014831542969,da209fc123844950707da6827c6ae2978f55d7b5a24cda444718103ca5bd4036,False
r5,coincollector,186215,286215,0.1111111111111111,0,0,1,10,2.779972553253172,13.331174850463867,225a8cd8ed205d8fe9cdb9c83fc5b72ee878ec5cfc637e81500366d7a25701ad,False
r5,coincollector,186216,286216,0.4444444444444444,0,0,4,10,2.3050189018249494,7.134199142456055,86f1b17b66cdb556c94b1fd97cb13aa6c5781299b07b164bfc66f21f68bab7af,False
r5,coincollector,186217,286217,0.3333333333333333,0,1,3,9,1.7611384391784668,6.641149520874023,cf0ad7f07cb4fe7b9272c19cd269e7e84e91670c2d14166835ca910ea48d492b,False
r5,coincollector,186218,286218,0.4444444444444444,0,0,4,12,2.53070592880249,6.874799728393555,ba60996e41ffaf60c7d7af8dc532dc2246a238e725fe9fe29a62f27d8efd4f6d,False
r5,coincollector,186219,286219,0.3333333333333333,0,0,3,9,2.6646018028259264,8.721113204956055,9257d4b0f4249dbe13f0a992a0cf77ae1f6fdafba6cbd65cf24a974738de2732,False
r5,coincollector,186220,286220,0.0,0,0,0,12,2.158248424530028,5.70225715637207,8681ae16a3404a01f01e913254ade33fb208898f9ac73d93ff8c76cc4c69cc24,False
r5,classic,186301,286301,0.3333333333333333,0,0,3,4,0.37107467651367176,0.5519390106201172,9696e50b0f0d9218a75bd62d52e2861c24ade620057144e9697379910f17ba8d,True
r5,classic,186302,286302,0.5555555555555556,0,0,5,7,0.5011558532714833,0.7729530334472656,c7e70f7e8cec7876dc4e906edd1149f864bab8675634c507785c1661e2a6cf73,True
r5,classic,186303,286303,0.1111111111111111,0,0,1,2,0.310993194580078,0.5788803100585938,c15c9f53c89815ed34d634675a87644c9fe97ba6cec35367a51b46c9d4eb1aba,True
r5,classic,186304,286304,0.1111111111111111,0,0,1,16,0.3348588943481444,0.5800724029541016,47babb6f8aa80891fa2a64a4453ae754142632fc7461b0bb6ef3f667d3084f50,True
r5,classic,186305,286305,0.4444444444444444,0,0,4,14,0.3952980041503904,0.5850791931152344,ea8d591b3f95c7c2fe1cf22e34cbad99f9426a6f81b360f6f15daa6eabffa644,True
r5,classic,186306,286306,0.0,0,0,0,0,0.29711723327636713,0.6191730499267578,5408a90948526c286a06374f07583ee12aefef1cca428b85c3069cfa576d9366,True
r5,classic,186307,286307,0.0,0,0,0,2,0.3571867942810058,0.6940364837646484,27475ecfb31e80081f1f9e44cbb404989cd58400fc40b1d09d45abcad9da2596,True
