model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,repeat,31011,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.30296480000834,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,b40bf213b6f7e1a73ec58e086243b1cadd50048d6afe2565891ff03760badf33,22,30,36,44,1,0,0,0.27561187744140625,0.3659725189208984,1.2733936309814453,,,,,,,,,
run-01,repeat,31012,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.751856699993368,1,1,DagobertDuckDQN,evaluation,400,400,49,49,0,400,0.0,True,step_limit,72825d181aabf863ffe0ac36b4f9017e9d493145d492154254cc3b8f5ffcb466,167,32,177,24,0,0,0,0.2740621566772461,0.3760576248168945,1.031637191772461,,,,,,,,,
run-01,repeat,31013,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.504204299999401,1,1,DagobertDuckDQN,evaluation,400,400,18,18,365,400,0.9125,True,step_limit,0cb458ff09a03bfd4fa6faa87e1ebf265fe32f328ca282b90e72329fcb6e1b10,10,12,371,7,0,0,0,0.2868175506591797,0.4046201705932617,1.497030258178711,,,,,,,,,
run-01,repeat,31014,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.499299999995856,1,1,DagobertDuckDQN,evaluation,400,400,13,13,367,400,0.9175,True,step_limit,30e315b92c291d50c4efbddaf542f08506350a2b7b8811679b993af310af6153,7,6,372,15,0,0,0,0.3077983856201172,0.4401922225952148,0.9088516235351562,,,,,,,,,
run-01,repeat,31015,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.245341600006213,1,1,DagobertDuckDQN,evaluation,121,121,50,50,1,121,0.008264462809917356,True,survived,446d0d5334e61d3f550e5dbf55f0c4c850b03b26077b7f5361dbc191fafde709,34,33,35,19,0,0,0,0.2655982971191406,0.35452842712402344,0.9248256683349609,,,,,,,,,
run-01,repeat,31016,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.1783407000184525,1,1,DagobertDuckDQN,evaluation,133,133,50,50,1,133,0.007518796992481203,True,survived,2641faa38ae01eef397b7bbc0e4d234e27edd056111c5a8708969384c520b4ac,39,25,30,39,0,0,0,0.293731689453125,0.7409095764160155,0.9529590606689453,,,,,,,,,
run-01,repeat,31017,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.692770099994959,1,1,DagobertDuckDQN,evaluation,400,400,40,40,0,400,0.0,True,step_limit,0d7df92816b565e21cbdb60b1d85bdf6520b1945028dadcf62477d3ac827bfd6,173,20,181,26,0,0,0,0.33164024353027344,0.6684184074401854,1.2898445129394531,,,,,,,,,
run-01,repeat,31018,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.6606532000005245,1,1,DagobertDuckDQN,evaluation,400,400,1,1,0,400,0.0,True,step_limit,22dca40840b524fe41c5c274828b562e7f37bd5ddabfcf44dc084a9cbb6fcfb9,201,0,199,0,0,0,0,0.27871131896972656,0.34216642379760737,1.1682510375976562,,,,,,,,,
run-01,repeat,31019,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.35976279998431,1,1,DagobertDuckDQN,evaluation,400,400,48,48,289,400,0.7225,True,step_limit,4fc5b13bd88dc56c92374182936e5b4770732d0b26cd221c68b1800085893b0d,17,38,318,27,0,0,0,0.2548694610595703,0.3457188606262207,1.049041748046875,,,,,,,,,
run-01,repeat,31020,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.247758500016062,1,1,DagobertDuckDQN,evaluation,400,400,29,29,335,400,0.8375,True,step_limit,588dbe66575522133ffec31ee83ffec0d501e15830e38808ba140acb56ab59e5,19,16,356,9,0,0,0,0.2663135528564453,0.3419399261474609,0.9262561798095703,,,,,,,,,
