schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,total_state_visits,evaluation_decisions,evaluation_unseen_decisions,mean_visits_per_state,singleton_state_fraction,evaluation_unseen_state_rate,cell,model,scenario,world_seed,agent_seed,suite,collection_fraction
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,1,48,25,,0,5,400,0.0125,True,step_limit,a0fbce1cb0380e2242e0bc00990cc545ec224fdabc5affabf45c4e095a56ecda,42,139,35,136,21,27,0,2.746701240539551,3.7696957588195787,6.802558898925781,,,,,,,,,,,,,,,,A,r1,classic,324033,424033,classic-primary,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,19,10,,0,2,400,0.005,True,step_limit,b7a63564a95a6a4d6037a7f0a1257cf7e5d8b036e924db41f667d17832691d19,12,173,12,174,17,12,0,1.8763542175292969,2.740538120269775,6.348609924316406,,,,,,,,,,,,,,,,A,r1,classic,324034,424034,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,7,2,,0,2,400,0.005,True,step_limit,80eebbb2d5c43cfce2868f40fe56d323d948d07f133cd7185613a0982a2d553a,2,197,2,194,3,2,0,0.8901357650756836,1.1483907699584959,6.254673004150391,,,,,,,,,,,,,,,,A,r1,classic,324035,424035,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,134,134,1,1,9,1,38,18,,1,7,134,0.05223880597014925,False,killed,c128c9915cfbbe82a6d8548b6981b8254490e9f0316127cf99e03b013c4342e5,27,20,26,21,18,22,0,1.0211467742919922,2.741110324859619,4.424571990966797,,,,,,,,,,,,,,,,A,r1,classic,324036,424036,classic-primary,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,1,44,23,,0,11,400,0.0275,True,step_limit,bd94fe671ce40f588d3d5daa70458c6794271a77316da4008ffdbe98541f6af2,32,146,28,136,27,31,0,1.817464828491211,2.7252793312072723,4.960060119628906,,,,,,,,,,,,,,,,A,r1,classic,324037,424037,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,9,3,,0,0,400,0.0,True,step_limit,068d3c89271da7ddd81554ff855d6128877287f91a3da3e041b7316be45931a3,1,194,3,194,5,3,0,1.4448165893554688,1.7388701438903809,2.048015594482422,,,,,,,,,,,,,,,,A,r1,classic,324038,424038,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,4,4,9,4,63,51,,0,10,400,0.025,True,step_limit,5145163a45992d616cdc8e72a09474eaa9f85b5ebb3d30bf9072fe70b9a8c42f,89,51,92,58,54,56,0,1.894235610961914,4.8554062843322745,9.370565414428711,,,,,,,,,,,,,,,,A,r1,classic,324039,424039,classic-primary,0.4444444444444444
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,3,3,9,3,47,25,,0,6,400,0.015,True,step_limit,5db5ea14854b2ffdf6a30e463f0bdfbe3f762659db4de54e110932cb1be28218,30,150,30,135,27,28,0,1.9516944885253906,2.570021152496338,4.423856735229492,,,,,,,,,,,,,,,,A,r1,classic,324040,424040,classic-primary,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,3,3,9,3,49,19,,0,2,400,0.005,True,step_limit,6bdbe2606e58525426d639d0ce44c14416295abbcb358cb0ada58b9d067c1078,28,149,33,149,21,20,0,2.5795698165893555,3.5090446472167964,5.383729934692383,,,,,,,,,,,,,,,,A,r1,classic,324001,424001,classic-repeat,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,4,2,,0,2,400,0.005,True,step_limit,80eebbb2d5c43cfce2868f40fe56d323d948d07f133cd7185613a0982a2d553a,2,197,2,194,3,2,0,0.9363889694213867,1.2682557106018064,2.7065277099609375,,,,,,,,,,,,,,,,A,r1,classic,324002,424002,classic-repeat,0.0
