cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
C,r1,classic,40,0.3583333333333333,3.225,0.025,0.125,1.0,400.0,400.0,124.03100775193798,0.80625,142,1902,850,2.2376470588235295,0.0,0.0,2606,3711,2543,3560,2730,850,0,6.135725975036618,13.682365417480469
C,r1,coin-heaven,40,0.6115,30.575,0.25,0.0,1.0,341.925,341.925,11.183156173344235,8.942019448709512,0,0,341,0.0,0.0,0.0,887,5339,811,5257,1042,341,0,7.1588873863220215,24.457693099975586
C,r1,loot-crate,40,0.2165,10.825,0.0,0.025,1.0,400.0,400.0,36.95150115473441,2.70625,545,1290,559,2.3076923076923075,0.0,0.0,2356,3094,2285,3047,4659,559,0,4.12454605102539,7.693767547607422
C,r2,classic,40,0.4666666666666667,4.2,0.0,0.125,0.975,393.25,393.25,93.63095238095238,1.0680228862047043,174,2443,1789,1.3655673560648407,0.025,0.0,2904,2248,2723,2313,3753,1789,0,4.605138301849364,9.06062126159668
C,r2,coin-heaven,40,0.6214999999999999,31.075,0.05,0.0,1.0,390.225,390.225,12.557522123893806,7.963354474982382,0,0,1181,0.0,0.0,0.0,4705,1803,4705,1817,1398,1181,0,5.97696304321289,10.8489990234375
C,r2,loot-crate,40,0.259,12.95,0.0,0.025,0.95,386.675,386.675,29.85907335907336,3.3490657528932566,597,1514,800,1.8925,0.05,0.0,3498,2088,3397,2119,3565,800,0,4.173517227172852,6.216287612915039
C,r3,classic,40,0.40555555555555556,3.65,0.05,0.25,1.0,400.0,400.0,109.58904109589041,0.9125,159,2364,1372,1.7230320699708455,0.0,0.0,3626,2264,3710,2314,2714,1372,0,4.806900024414062,7.529258728027344
C,r3,coin-heaven,40,0.5,25.0,0.1,0.0,1.0,373.975,373.975,14.959,6.68493883280968,0,0,112,0.0,0.0,0.0,1607,1453,1471,1398,8918,112,0,5.884516239166259,10.554790496826172
C,r3,loot-crate,40,0.2305,11.525,0.0,0.025,0.95,383.5,383.5,33.275488069414315,3.0052151238591915,560,1366,599,2.280467445742905,0.05,0.0,4117,2404,4067,2426,1727,599,0,4.012858867645264,7.416963577270508
C,r4,classic,40,0.3194444444444444,2.875,0.0,0.1,1.0,400.0,400.0,139.1304347826087,0.71875,131,1771,952,1.8602941176470589,0.0,0.0,2967,3621,2813,3619,2028,952,0,4.933726787567135,9.47880744934082
C,r4,coin-heaven,40,0.3015,15.075,0.0,0.025,1.0,400.0,400.0,26.533996683250415,3.76875,0,0,4,0.0,0.0,0.0,2588,5404,2541,5461,2,4,0,6.565356254577636,9.587287902832031
C,r4,loot-crate,40,0.153,7.65,0.0,0.075,1.0,400.0,400.0,52.287581699346404,1.9125,390,1009,384,2.6276041666666665,0.0,0.0,2508,3371,2436,3334,3967,384,0,4.200255870819091,7.433176040649414
C,r5,classic,40,0.19444444444444445,1.75,0.0,0.275,1.0,400.0,400.0,228.57142857142858,0.4375,89,1208,528,2.287878787878788,0.0,0.0,1205,4403,1240,4418,4206,528,0,5.046558380126951,8.239984512329102
C,r5,coin-heaven,40,0.0995,4.975,0.0,0.2,1.0,400.0,400.0,80.40201005025126,1.24375,0,0,32,0.0,0.0,0.0,697,6080,695,6205,2291,32,0,6.629896163940423,11.851310729980469
C,r5,loot-crate,40,0.2015,10.075,0.0,0.025,1.0,400.0,400.0,39.702233250620345,2.51875,502,1244,475,2.6189473684210527,0.0,0.0,2632,2554,2542,2607,5190,475,0,3.8955450057983394,9.856939315795898
D,r1,classic,40,0.30833333333333335,2.775,0.0,0.175,0.975,391.525,391.525,141.0900900900901,0.7087670008300875,116,1648,1833,0.8990725586470267,0.025,0.0,3128,2359,3347,2298,2696,1833,0,4.27556037902832,9.397506713867188
D,r1,coin-heaven,40,0.08449999999999999,4.225,0.0,0.075,0.95,381.0,381.0,90.1775147928994,1.1089238845144358,0,0,48,0.0,0.05,0.0,849,3025,776,3068,7474,48,0,6.456518173217773,10.54239273071289
D,r1,loot-crate,40,0.3395,16.975,0.0,0.0,0.875,364.575,364.575,21.477172312223857,4.656106425289721,747,1897,1246,1.5224719101123596,0.125,0.0,3251,2514,3312,2479,1781,1246,0,4.960966110229492,8.906126022338867
D,r2,classic,40,0.3083333333333333,2.775,0.0,0.15,0.975,392.5,392.5,141.44144144144144,0.7070063694267515,134,1698,1185,1.4329113924050634,0.025,0.0,1933,2871,1980,2913,4818,1185,0,4.762446880340574,9.906768798828125
D,r2,coin-heaven,40,0.0645,3.225,0.0,0.075,0.875,351.325,351.325,108.93798449612403,0.9179534618942574,0,0,355,0.0,0.125,0.0,3926,361,3994,364,5053,355,0,6.265234947204589,9.212255477905273
D,r2,loot-crate,40,0.24900000000000003,12.45,0.0,0.0,0.975,391.95,391.95,31.481927710843372,3.176425564485266,576,1374,1025,1.3404878048780489,0.025,0.0,3025,1898,2987,1884,4859,1025,0,5.112934112548828,8.20779800415039
D,r3,classic,40,0.28888888888888886,2.6,0.025,0.125,1.0,400.0,400.0,153.84615384615384,0.65,114,1605,990,1.621212121212121,0.0,0.0,4981,1590,4970,1620,1849,990,0,5.318927764892574,10.761022567749023
D,r3,coin-heaven,40,0.3415,17.075,0.0,0.0,1.0,400.0,400.0,23.42606149341142,4.26875,0,0,37,0.0,0.0,0.0,1456,2933,1422,2832,7320,37,0,7.057738304138183,11.4288330078125
D,r3,loot-crate,40,0.3035,15.175,0.0,0.0,0.975,393.875,393.875,25.955518945634267,3.852745160266582,701,1703,909,1.8734873487348735,0.025,0.0,3416,2049,3300,2000,4081,909,0,4.748797416687012,7.9212188720703125
D,r4,classic,40,0.4,3.6,0.05,0.075,1.0,400.0,400.0,111.11111111111111,0.9,153,1934,1458,1.326474622770919,0.0,0.0,1772,3950,1901,3703,3216,1458,0,5.107021331787108,12.725591659545898
D,r4,coin-heaven,40,0.0395,1.975,0.0,0.225,1.0,400.0,400.0,202.53164556962025,0.49375,0,0,0,,0.0,0.0,2798,34,2863,0,10305,0,0,5.7814478874206525,16.927242279052734
D,r4,loot-crate,40,0.29100000000000004,14.55,0.0,0.025,1.0,400.0,400.0,27.491408934707902,3.6375,664,1671,946,1.766384778012685,0.0,0.0,2316,2588,2345,2555,5250,946,0,4.96920347213745,8.191823959350586
frozen_task1,frozen_task1,coin-heaven,40,0.748,37.4,0.275,0.0,1.0,324.525,324.525,8.677139037433156,11.524535860103228,0,0,0,,0.0,0.0007703566751405901,3638,2862,3647,2830,4,0,0,0.33098459243774414,1.6963481903076172
untrained,untrained,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,0.0,0.525,0,0,8400,0,7600,0,0,0.4101157188415523,3.412961959838867
untrained,untrained,coin-heaven,40,0.748,37.4,0.275,0.0,1.0,324.525,324.525,8.677139037433156,11.524535860103228,0,0,0,,0.0,0.0007703566751405901,3638,2862,3647,2830,4,0,0,0.4506111145019531,1.3184547424316406
untrained,untrained,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,0.0,0.625,0,0,10000,0,6000,0,0,0.4888772964477538,1.8663406372070312
