treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
candidate,r3,peaceful,224112,324112,0.2222222222222222,0,0,2,52,0.323200225830078,0.8511543273925781,7c87311e46782bc16f386c866a57a18525e03ba70eef1d36fa2c612c373299c5,True
candidate,r3,peaceful,224113,324113,0.1111111111111111,0,0,1,17,0.22302865982055653,0.6661415100097656,5738bdeb0904e3a2802e2585b7d85731a4f3a813918fb1f6f5dfa35531bdd47d,True
candidate,r3,peaceful,224114,324114,0.5555555555555556,0,0,5,12,0.43611526489257807,0.6988048553466797,31b2a95f1a452c7c0a8cc97e67a598b048c274c6583991598335b177d64e35cf,True
candidate,r3,peaceful,224115,324115,0.3333333333333333,1,0,8,11,0.2803444862365721,0.5235671997070312,16c6a001796b8b183c9e64bb6a1a6337a481ec1bd070d45192848f896457f2db,False
candidate,r3,peaceful,224116,324116,0.2222222222222222,0,0,2,45,0.4412055015563955,1.4450550079345703,37e507be531db496b1c132fa7540763816b4fc2dadadec2a77441fdd6baa8814,True
candidate,r3,peaceful,224117,324117,0.1111111111111111,0,0,1,0,0.1850128173828125,0.39076805114746094,9843d8518033efaab0b01f22ca2c8a67f69153e8f7cbae3c9d7dd175f49b1efe,True
candidate,r3,peaceful,224118,324118,0.4444444444444444,0,0,4,43,0.2130150794982909,0.29587745666503906,fd2ad663859655e540ad396deecf337b78caff6ac05672a24f96159693409534,True
candidate,r3,peaceful,224119,324119,0.1111111111111111,0,0,1,36,0.24509429931640625,0.3027915954589844,7da2a0cad5d8f4287703dc5d5e584c8d634e119798a2faa14b26d4c6a3a19a25,True
candidate,r3,peaceful,224120,324120,0.4444444444444444,1,0,9,11,0.2031803131103515,0.4248619079589844,46152cc5779869c2620f2d778675e0e5e0921616611c71a98b5b0626d905f22c,True
candidate,r3,coincollector,224201,324201,0.3333333333333333,0,1,3,23,0.7350444793701169,1.4982223510742188,4c7e5ca97548b08ee5a7f12ed9096b3cec037e8b53bfe035d48b7c225aa464a8,False
candidate,r3,coincollector,224202,324202,0.1111111111111111,0,0,1,2,0.7205605506896973,0.9579658508300781,5582f7c6822c80f2122567498be6155a9326a4cdd838213559d1d7a631118677,True
candidate,r3,coincollector,224203,324203,0.0,0,0,0,46,1.1675953865051265,6.074190139770508,238e482952b3ee4b2dbcd1337816523d3582af8194800c4d89d479e3c474d81e,False
candidate,r3,coincollector,224224,324224,0.2222222222222222,0,0,2,9,1.4686346054077133,3.97491455078125,4a9cc30662c809734d5f7b282dad59982c62e9d367e494366d2901ff92416ec9,False
