treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r5,peaceful,220107,320107,0.1111111111111111,0,0,1,25,0.7922291755676267,1.6598701477050781,e8ecb4f34e660ce0b0c139af93d57c19f28de4cd173562c03a16467ce9bba868,True
control,r5,peaceful,220108,320108,0.5555555555555556,1,0,10,4,0.9818196296691895,2.045869827270508,741e1b20541d8c444dc9354c576add8a5fbf8ca2e938c890ba02b54de1f46c92,False
control,r5,peaceful,220109,320109,0.3333333333333333,0,0,3,14,0.3128767013549804,0.4277229309082031,60aba7326ddb5babd103a791dc8cc785b5cded43aab05e9f62ab565caa2b940f,True
control,r5,peaceful,220110,320110,0.2222222222222222,0,0,2,1,0.3689289093017577,0.6718635559082031,d7c7f430ca415a4add4f4070a5099940032837440fa70942850dd52c29a7952a,True
control,r5,peaceful,220111,320111,0.1111111111111111,0,0,1,1,0.34931898117065424,0.9088516235351562,d936ebc8aa1067e8a2e71c56707ab2dbe1e3512bc2b55e1fe2f8e60b6c992e41,True
control,r5,peaceful,220112,320112,0.4444444444444444,1,0,9,7,0.26408433914184554,0.44226646423339844,fd8cc9a142587469d2f47f24e77263729a62a7b6f02334ba6d8b55ac2c389602,False
control,r5,peaceful,220113,320113,0.1111111111111111,1,0,6,0,0.14710426330566406,0.4291534423828125,07267b9f3126e26e93ce4d430c308d17b2b789533899991f898647ca3075ac8e,True
control,r5,peaceful,220114,320114,0.0,0,0,0,0,0.16571283340454102,0.26917457580566406,e4bd933648bd72808ac01a047cec31d26783c31e5e18761afb3573de5c5b4040,True
control,r5,peaceful,220115,320115,0.1111111111111111,0,1,1,3,0.1856088638305664,0.28896331787109375,431d073f185d21f6cac34aa38d4c59176bbc10a053e331ae59823db4b3210c9e,True
control,r5,peaceful,220116,320116,0.2222222222222222,0,0,2,4,0.21318197250366208,1.4269351959228516,97adf133ff65e9bf9d27e9f7ff70b6b25bd49f9101a3fa17f73073944655a8a5,True
control,r5,peaceful,220117,320117,0.1111111111111111,0,0,1,35,0.262308120727539,0.5221366882324219,f18acb8751d762f8d9668d199d6ef185cab269a1ae0bb57f1cb16e52552dd4b2,True
control,r5,peaceful,220118,320118,0.0,0,0,0,3,0.14787912368774409,0.33402442932128906,73388cdd7f4ede32e89d7f8eb5dcfb66592829ba350522175e6592123611bf96,True
control,r5,peaceful,220119,320119,0.2222222222222222,0,0,2,0,0.21295547485351557,0.2818107604980469,0141b0fdc4e972ab4d44c7a79fd3cb23890f155db9ffe9a25282e9add21e3b13,True
control,r5,peaceful,220120,320120,0.6666666666666666,0,0,6,11,0.3939270973205566,0.5857944488525391,cac7cdff36e5d383caa4b10a9d07bf8facf4f53f13a98c1dfefcd5e763bd5601,True
control,r5,coincollector,220201,320201,0.1111111111111111,0,1,1,1,0.2070307731628418,0.2849102020263672,fede8f51552a679e65511a479bb94b170c1b851bd7ccd8a49249ffeb728551fe,False
control,r5,coincollector,220202,320202,0.4444444444444444,0,1,4,7,0.36406517028808577,1.4190673828125,b7e9f0586d8ca0b30f0a0a5de8a30c2763bac21d363cb63e4dbfc9ff2fcbcd01,False
control,r5,coincollector,220203,320203,0.1111111111111111,0,1,1,2,0.25237798690795893,0.3237724304199219,c57fe384c23eab3855c4c3026f9cf7d9c5ee8c87d49f3adbffb7f587a33a2e6a,False
control,r5,coincollector,220204,320204,0.6666666666666666,0,0,6,16,0.3191590309143065,0.6608963012695312,64f4f2dc1619b062e61fd6ee817ff3db8d92629470d1458b063e9a16a9f46f53,False
control,r5,coincollector,220205,320205,0.3333333333333333,0,0,3,7,0.6008267402648926,1.0292530059814453,866cfb6145c6b38911916f86ef27e7c51815a035e5ef9e29b528e826213bce82,False
control,r5,coincollector,220206,320206,0.4444444444444444,0,0,4,9,0.49562454223632685,1.049041748046875,35a684357484e6bb17bcfaa4151a31e5e7768abb7330ad8ee46451d4bbfeb175,False
control,r5,coincollector,220207,320207,0.4444444444444444,0,1,4,10,0.4786968231201172,0.7100105285644531,66d15379aea263a136595fca062c0c9e667be64f07e5ac7ba7fd184bfe208fb4,False
control,r5,coincollector,220208,320208,0.3333333333333333,0,0,3,4,0.7634639739990228,1.3077259063720703,acd696bc18a6d6b98a2483d0a0efbf430f854f013d13f009278e46908afe1646,False
control,r5,coincollector,220209,320209,0.3333333333333333,0,0,3,10,0.4044175148010251,0.7009506225585938,387c71f6582aeeec506521dfe2d423d9073d46723251dff7564f6826ddbb3caa,False
control,r5,coincollector,220210,320210,0.3333333333333333,0,1,3,3,0.34546852111816406,0.36978721618652344,89b17583a5f32de8c073e95b7b287fad2683d114fcf87a410d56aaa826bb8cc8,False
control,r5,coincollector,220211,320211,0.1111111111111111,1,0,6,7,0.25328397750854487,0.4572868347167969,4b12b05fc2496fe8eb10d680ba751da5ba07e6b84bf5aec88ce06b53ffb7f26c,False
control,r5,coincollector,220212,320212,0.3333333333333333,0,0,3,5,0.5168914794921875,1.1281967163085938,ae98e8ae7d25afe903707b7084e1a50228946977a4ba43b04da2414a61320fbc,False
control,r5,coincollector,220213,320213,0.2222222222222222,0,1,2,7,0.21003484725952148,0.3020763397216797,75c87f791e5c8f7d3b22bc75eea2dbd531cc588b890893fff4659375b59a856d,False
