schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,cell,model,scenario,collection_fraction
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,50,0,0,0,,0,1,400,0.0025,True,step_limit,db210305cde65ee642abee101cf964bbb4f5d8e2b052d85fd026240674969fbb,4,0,1,5,390,0,0,7.105469703674316,7.69698619842529,11.205196380615234,,,,,,,,,,,,,,,,29100111,39100111,A,r1,coin-heaven,0.16
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,3,3,50,0,0,0,,0,395,400,0.9875,True,step_limit,48ced81fa638fdaa586153e1a9530c2181935c88f08d47d4eb209f7b73797079,3,2,0,395,0,0,0,5.701541900634766,6.634628772735595,9.758234024047852,,,,,,,,,,,,,,,,29100112,39100112,A,r1,coin-heaven,0.06
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,6,6,50,0,0,1,,0,0,400,0.0,True,step_limit,4363ba6d923ea463365a0c614208a26d86a801c88b79d2dfe66ca9c517d785d8,1,3,7,2,386,1,0,5.635619163513184,6.158435344696042,10.311126708984375,,,,,,,,,,,,,,,,29100113,39100113,A,r1,coin-heaven,0.12
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,19,19,50,0,0,7,,0,9,400,0.0225,True,step_limit,7a2352d04b1568e2201a989c606d7c9d70066a224a303cb54a81399b93124780,17,190,6,174,0,13,0,5.2089691162109375,6.502366065979004,12.556791305541992,,,,,,,,,,,,,,,,29100114,39100114,A,r1,coin-heaven,0.38
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,1,1,50,0,0,0,,0,397,400,0.9925,True,step_limit,5837b0c31488a1214d0871bc3b629d27bf612c23a34698e84651c4f15bc111da,0,2,397,1,0,0,0,3.4863948822021484,3.8309216499328613,4.582643508911133,,,,,,,,,,,,,,,,29100115,39100115,A,r1,coin-heaven,0.02
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,10,10,50,0,0,1,,0,0,400,0.0,True,step_limit,1b40bd8545cb87c3ddf11ca1adc466eeabafb6b663164d41eeec19ca500dc8b7,4,0,0,11,384,1,0,6.494402885437012,7.185590267181396,11.701822280883789,,,,,,,,,,,,,,,,29100116,39100116,A,r1,coin-heaven,0.2
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,6,6,50,0,0,1,,0,380,400,0.95,True,step_limit,7409d4e3326e1f85d9dad91dcb4dd8832a89aaa5954076a523d73f075ff8c1f9,4,3,392,0,0,1,0,6.852984428405762,7.877600193023682,10.24937629699707,,,,,,,,,,,,,,,,29100117,39100117,A,r1,coin-heaven,0.12
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,10,10,50,0,0,2,,0,1,400,0.0025,True,step_limit,465ef0ccee529182599f31b423ace7c2ffbcc92cac710ba421f029e3fb273861,1,202,6,189,0,2,0,5.96463680267334,6.63092136383056,9.682178497314453,,,,,,,,,,,,,,,,29100118,39100118,A,r1,coin-heaven,0.2
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,9,9,50,0,0,2,,0,374,400,0.935,True,step_limit,a9410488746f8d06cf11002059b1a5cb42f7f7651f80b86567046ac3e231793d,3,9,10,375,1,2,0,7.647037506103516,8.856356143951416,12.108564376831055,,,,,,,,,,,,,,,,29100119,39100119,A,r1,coin-heaven,0.18
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,1,1,50,0,0,0,,0,0,400,0.0,True,step_limit,0f88e659d4161b477aebc14a397e039e38a78e3e91c5b0f68f41aa222d8963f2,1,0,1,1,397,0,0,3.524899482727051,3.9795517921447754,4.694938659667969,,,,,,,,,,,,,,,,29100120,39100120,A,r1,coin-heaven,0.02
