stage,job,world_seed,agent_seed,repeat,behavior_epsilon,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
training,control-r2,1931302038,3931302,,0.0,11,1,0.6666666666666666,6,89,1,1,400,0,0,54
training,control-r2,1931302039,3931302,,1.0,0,0,0.0,0,4,0,0,5,1,0,1
training,control-r2,1931302040,3931302,,0.0,11,1,0.6666666666666666,6,87,1,0,293,1,0,37
training,control-r2,1931302041,3931302,,0.0,11,1,0.6666666666666666,6,69,1,1,400,0,0,46
training,control-r2,1931302042,3931302,,0.0,7,1,0.7777777777777778,7,104,0,1,400,0,0,53
training,control-r2,1931302043,3931302,,0.0,9,1,0.4444444444444444,4,42,1,1,400,0,0,44
training,control-r2,1931302044,3931302,,1.0,0,0,0.0,0,3,0,0,5,1,0,1
training,control-r2,1931302045,3931302,,0.0,2,1,0.2222222222222222,2,57,0,0,233,1,0,24
training,control-r2,1931302046,3931302,,1.0,0,0,0.0,0,3,0,0,6,1,0,1
training,control-r2,1931302047,3931302,,0.0,6,1,0.6666666666666666,6,65,0,1,400,0,0,41
training,control-r2,1931302048,3931302,,0.0,7,1,0.7777777777777778,7,92,0,1,400,0,0,48
training,control-r2,1931302049,3931302,,0.0,11,1,0.6666666666666666,6,103,1,1,400,0,0,54
training,control-r2,1931302050,3931302,,0.0,10,1,0.5555555555555556,5,81,1,0,260,1,1,35
training,treatment-r2,1931302001,3931302,,0.0,5,1,0.5555555555555556,5,74,0,1,400,0,0,40
training,treatment-r2,1931302002,3931302,,1.0,0,0,0.0,0,4,0,0,9,1,0,1
training,treatment-r2,1931302003,3931302,,0.0,2,1,0.2222222222222222,2,24,0,0,87,1,0,12
training,treatment-r2,1931302004,3931302,,0.0,10,1,0.5555555555555556,5,74,1,1,400,0,0,41
training,treatment-r2,1931302005,3931302,,0.0,2,1,0.2222222222222222,2,47,0,0,219,1,0,24
training,treatment-r2,1931302006,3931302,,0.0,5,1,0.5555555555555556,5,51,0,1,400,0,0,54
training,treatment-r2,1931302007,3931302,,0.0,9,1,0.4444444444444444,4,74,1,1,400,0,0,54
training,treatment-r2,1931302008,3931302,,0.0,6,1,0.6666666666666666,6,88,0,1,400,0,0,53
training,treatment-r2,1931302009,3931302,,0.0,3,1,0.3333333333333333,3,31,0,0,246,1,0,12
training,treatment-r2,1931302010,3931302,,1.0,0,0,0.0,0,2,0,0,5,1,0,1
training,treatment-r2,1931302011,3931302,,0.0,2,1,0.2222222222222222,2,40,0,1,400,0,0,53
training,treatment-r2,1931302012,3931302,,0.0,9,1,0.4444444444444444,4,52,1,1,400,0,0,36
training,treatment-r2,1931302013,3931302,,0.0,4,1,0.4444444444444444,4,52,0,0,153,1,1,20
training,treatment-r2,1931302014,3931302,,0.0,2,1,0.2222222222222222,2,41,0,1,400,0,0,21
training,treatment-r2,1931302015,3931302,,1.0,0,0,0.0,0,3,0,0,5,1,0,1
training,treatment-r2,1931302016,3931302,,0.0,6,1,0.6666666666666666,6,80,0,1,400,0,0,51
training,treatment-r2,1931302017,3931302,,0.0,4,1,0.4444444444444444,4,58,0,1,400,0,0,49
training,treatment-r2,1931302018,3931302,,0.0,2,1,0.2222222222222222,2,76,0,1,400,0,0,53
training,treatment-r2,1931302019,3931302,,1.0,0,0,0.0,0,2,0,0,6,1,0,1
training,treatment-r2,1931302020,3931302,,0.0,8,1,0.8888888888888888,8,75,0,0,317,1,0,42
training,treatment-r2,1931302021,3931302,,0.0,5,1,0.5555555555555556,5,72,0,1,400,0,0,54
training,treatment-r2,1931302022,3931302,,0.0,11,1,0.6666666666666666,6,78,1,1,400,0,0,50
training,treatment-r2,1931302023,3931302,,0.0,5,1,0.5555555555555556,5,49,0,1,400,0,0,51
training,treatment-r2,1931302024,3931302,,1.0,0,0,0.0,0,3,0,0,7,1,0,1
training,treatment-r2,1931302025,3931302,,0.0,4,1,0.4444444444444444,4,68,0,1,400,0,0,53
training,treatment-r2,1931302026,3931302,,0.0,2,1,0.2222222222222222,2,56,0,1,400,0,0,48
training,treatment-r2,1931302027,3931302,,0.0,0,0,0.0,0,3,0,0,7,1,0,1
training,treatment-r2,1931302028,3931302,,0.0,4,1,0.4444444444444444,4,62,0,1,400,0,0,50
training,treatment-r2,1931302029,3931302,,0.0,7,1,0.2222222222222222,2,72,1,1,400,0,0,53
training,treatment-r2,1931302030,3931302,,1.0,0,0,0.0,0,3,0,0,5,1,0,1
training,treatment-r2,1931302031,3931302,,0.0,1,1,0.1111111111111111,1,16,0,0,65,1,0,9
training,treatment-r2,1931302032,3931302,,1.0,0,0,0.0,0,4,0,0,12,1,0,1
training,treatment-r2,1931302033,3931302,,0.0,4,1,0.4444444444444444,4,71,0,0,260,1,0,34
training,treatment-r2,1931302034,3931302,,0.0,10,1,0.5555555555555556,5,79,1,1,400,0,0,52
training,treatment-r2,1931302035,3931302,,0.0,10,1,0.5555555555555556,5,85,1,1,400,0,0,53
training,treatment-r2,1931302036,3931302,,0.0,1,1,0.1111111111111111,1,27,0,0,119,1,0,16
training,treatment-r2,1931302037,3931302,,0.0,11,1,0.6666666666666666,6,92,1,1,400,0,0,53
training,treatment-r2,1931302038,3931302,,0.0,14,1,1.0,9,101,1,1,400,0,0,52
training,treatment-r2,1931302039,3931302,,1.0,0,0,0.0,0,4,0,0,7,1,0,1
training,treatment-r2,1931302040,3931302,,0.0,0,0,0.0,0,22,0,1,400,0,0,9
training,treatment-r2,1931302041,3931302,,0.0,5,1,0.5555555555555556,5,46,0,1,400,0,0,52
training,treatment-r2,1931302042,3931302,,0.0,3,1,0.3333333333333333,3,26,0,1,400,0,0,54
training,treatment-r2,1931302043,3931302,,0.0,1,1,0.1111111111111111,1,11,0,0,35,1,0,5
training,treatment-r2,1931302044,3931302,,1.0,0,0,0.0,0,3,0,0,5,1,0,1
training,treatment-r2,1931302045,3931302,,0.0,4,1,0.4444444444444444,4,57,0,1,400,0,0,48
training,treatment-r2,1931302046,3931302,,1.0,0,0,0.0,0,5,0,0,21,1,0,2
training,treatment-r2,1931302047,3931302,,0.0,3,1,0.3333333333333333,3,38,0,0,162,1,0,20
training,treatment-r2,1931302048,3931302,,0.0,2,1,0.2222222222222222,2,44,0,0,137,1,0,19
training,treatment-r2,1931302049,3931302,,0.0,2,1,0.2222222222222222,2,45,0,1,400,0,0,22
training,treatment-r2,1931302050,3931302,,0.0,10,1,0.5555555555555556,5,83,1,1,400,0,0,54
training,control-r3,1931303001,3931303,,0.0,8,1,0.3333333333333333,3,57,1,1,400,0,0,55
training,control-r3,1931303002,3931303,,0.0,7,1,0.7777777777777778,7,81,0,1,400,0,0,38
training,control-r3,1931303003,3931303,,0.0,4,1,0.4444444444444444,4,57,0,0,278,1,0,34
