treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
candidate,r5,peaceful,210116,310116,0.1111111111111111,0,0,1,6,0.3483295440673828,0.5998611450195312,9ff3dc072a43a697ce205cc37d05d74efc9f83e313f746cb91394deb7f5f721a,True
candidate,r5,peaceful,210117,310117,0.1111111111111111,0,0,1,16,0.20200014114379877,0.5109310150146484,f4b96dab6c74b7839ec9f8ef72e2d41fa8e9e3d76ba9aa019098e2a3b57797c8,True
candidate,r5,peaceful,210118,310118,0.1111111111111111,0,0,1,7,0.14687776565551758,0.3190040588378906,2955602e4b18d38f1f00d210979621ad9ea2c9375d25b703a39201daef604140,True
candidate,r5,peaceful,210119,310119,0.0,0,0,0,2,0.1350045204162597,0.3070831298828125,447035d21d6636385e1461cd43ab952d97f0658193341cf0d63f7300112b31d3,True
candidate,r5,peaceful,210120,310120,0.0,0,0,0,3,0.13122558593749992,0.30493736267089844,a52e1404f304eda959babe91e94041d2b526217c0fff708f7ff0f92506c91298,True
candidate,r5,coincollector,210201,310201,0.0,0,0,0,10,0.25616884231567383,0.3540515899658203,dd5ad84f87e94e9e564a0983f3b1884abe4f5917431ea46aa767ac865aa02967,False
candidate,r5,coincollector,210202,310202,0.2222222222222222,1,0,7,11,0.29126405715942366,0.41985511779785156,7157e209e45369212dffafc7168d259211567dcdaed6afc9d3bd92f4dcbb243f,False
candidate,r5,coincollector,210203,310203,0.1111111111111111,0,1,1,31,0.37920475006103516,0.47469139099121094,e6be2233bcdc37075ea20f029a1530069f032071fc25425894505950e6cd38cc,False
candidate,r5,coincollector,210204,310204,0.0,0,1,0,9,0.2555370330810547,0.37980079650878906,d9a7c371b859214b5c613913ae6e478d431dbc5874b787a641b10107eac6df86,True
candidate,r5,coincollector,210205,310205,0.1111111111111111,0,1,1,14,0.3165006637573242,0.4429817199707031,bcf2402e7d657d065940f6610c402ee4e6f4d408e61275a63d8614717e2f436a,False
candidate,r5,coincollector,210206,310206,0.0,0,0,0,5,0.2219676971435547,0.5440711975097656,a351ab54753a9478bb95f20565c68ef295aacb3f09a4ef239a95f5ca099151d8,True
candidate,r5,coincollector,210207,310207,0.1111111111111111,0,0,1,48,0.4138946533203125,0.8420944213867188,9303a1b1e1ef985496114772d27b3997fe0ad53628fa20c27f15dd70d3fe7e5d,False
candidate,r5,coincollector,210208,310208,0.1111111111111111,0,1,1,25,0.2443552017211914,0.41222572326660156,573d529fe5073b9e69d89ffa81729137d7be5529c7b5617d2903067b56562d0e,False
candidate,r5,coincollector,210209,310209,0.1111111111111111,0,1,1,11,0.18032789230346677,0.28586387634277344,a8d1772e89edc0f020137e298ec0a0a388f723ee45b4fe7847bf7a841df8e097,False
candidate,r5,coincollector,210210,310210,0.0,0,1,0,6,0.22972822189331055,0.46515464782714844,c6c05f62481d33b4177f876fe2f45518905ff044a458c2d12a51feb897fd2420,False
candidate,r5,coincollector,210211,310211,0.4444444444444444,0,1,4,11,0.49245357513427734,0.8130073547363281,b12a9b7c18b552571ec159eb23bda84645c0f442e9a6075bd86603762fc7ec91,False
candidate,r5,coincollector,210212,310212,0.1111111111111111,0,1,1,11,0.33859014511108393,1.4150142669677734,2f2d73531b9e94b64a2e72474a2fd94820dbb52f097cef6630c56f345ac8d433,False
candidate,r5,coincollector,210213,310213,0.0,0,1,0,12,0.3004074096679686,0.4227161407470703,c210d548166e7f0a5cf8c4dceae79e31ad4bf83a9b9ef086b1b41846baf4ad8f,False
candidate,r5,coincollector,210214,310214,0.0,0,1,0,6,0.8323788642883301,1.1970996856689453,293d264ca89a7cfeb86daa67cf30424cf903ba52829ed41c88b96f03ad074347,False
candidate,r5,coincollector,210215,310215,0.0,0,1,0,8,0.2294778823852539,0.31495094299316406,987d9654336860f781dea84f72dcaf6e691f2743635669825059ec541dcca715,False
candidate,r5,coincollector,210216,310216,0.1111111111111111,0,1,1,11,0.5124092102050781,0.8668899536132812,db5ae6872fd1f6626b0e7729a8aa95553578603f8fe649371bd12f2dc7e96998,False
candidate,r5,coincollector,210217,310217,0.0,0,1,0,8,0.29659271240234375,0.3299713134765625,0b7193227ca9abb85a5599ad26fb015a1bc7c96b37bfe091c55cc1384ea60112,False
candidate,r5,coincollector,210218,310218,0.0,0,1,0,12,0.2985954284667969,0.4200935363769531,001bd1d4e9aba6513d01a0fa936b51dce7545d3320b367afbce785a406932e9e,False
candidate,r5,coincollector,210219,310219,0.1111111111111111,0,0,1,21,0.3253102302551266,0.46825408935546875,014b6aebf673870448b02b8953a6e151531f049885c7e742c11ca5ebb09abdf1,False
candidate,r5,coincollector,210220,310220,0.1111111111111111,0,0,1,6,0.3811120986938476,0.5540847778320312,45d6a912fd6875c52c2d13c321ec03a46dfef58ed095a131718632f94a90bdb9,False
candidate,r5,classic,210301,310301,0.0,0,0,0,2,0.4305243492126459,1.4047622680664062,77a0717c6fe69b62ee3f999b7a589029bfe94bb66c5208e9fa1e2a0752564aaa,True
candidate,r5,classic,210302,310302,0.0,0,0,0,7,0.589001178741455,1.004934310913086,59a8276ff5f981be7cda8c9e473708bfbb7abf95bbac604dad676d172cdc6d16,True
candidate,r5,classic,210303,310303,0.0,0,0,0,396,0.5528926849365234,1.8978118896484375,99259206b6c5b1dc942fa1bc718d4c964a872b3f6082d557a741891b9078c614,True
candidate,r5,classic,210304,310304,0.0,0,0,0,3,0.6957292556762691,3.3197402954101562,0375072aac60f8eaee046c990ecea6ae0dd23aaa83bc2566bb89313c50caf7d4,True
candidate,r5,classic,210305,310305,0.0,0,0,0,7,0.33656358718872037,0.9980201721191406,294c4e4b0cde182c5e6fba2f028380bd67ca7fc5c84613e9418fae46b9496553,True
candidate,r5,classic,210306,310306,0.0,0,0,0,7,0.19322633743286122,0.9887218475341797,eff7e0415471dbb41ce5c31131a2ae3fc6b1b5e09525345c96cfc7bca27fded5,True
candidate,r5,classic,210307,310307,0.1111111111111111,0,0,1,7,0.2794504165649401,0.8819103240966797,9f786151da06cca967a6856e19fd8df9af4049443958a01fade8942659814638,True
candidate,r5,classic,210308,310308,0.0,0,0,0,4,0.41807889938354414,1.7621517181396484,876544a7b110d336c10a4503bd12d82a7e1a909f3242708e1a588f45c15d7a03,True
candidate,r5,classic,210309,310309,0.0,0,0,0,7,0.6012558937072752,2.3040771484375,eff7e0415471dbb41ce5c31131a2ae3fc6b1b5e09525345c96cfc7bca27fded5,True
candidate,r5,classic,210310,310310,0.0,0,1,0,5,0.86212158203125,0.8778572082519531,0a38bbb2877c79147249969375b0271b4e8d1608f4886ac3c6f3524bcf368a4b,True
candidate,r5,classic,210311,310311,0.0,0,0,0,4,0.5095124244689937,1.1410713195800781,a6c9fc821716b014f30e2884acc45d51c4c74558d9f11622b8747fa2ba4f5ed4,True
candidate,r5,classic,210312,310312,0.0,0,0,0,6,0.514423847198486,1.77001953125,85507768b45a3619d397bfb0964008e6f4378930427a80c8dbc2cf0b87518e70,True
candidate,r5,classic,210313,310313,0.0,0,0,0,5,0.47112703323364236,1.3167858123779297,839d201a2c55bc9c6a3c73d5a9f24db2a77c2545ef2eb6bfebc34dab9183b9a9,True
candidate,r5,classic,210314,310314,0.0,0,0,0,3,0.6320953369140625,1.7170906066894531,55e840e23545df89bd13b98c956d11c72b51d9f8b1b3acb8b88748cfbe1f7ee6,True
candidate,r5,classic,210315,310315,0.0,0,0,0,389,0.47954320907592723,1.9130706787109375,5f730c962e37e85a701a25247e2a14e4127005fc28ab81a2c8ead32b420d0a61,True
candidate,r5,classic,210316,310316,0.0,0,0,0,2,0.5485057830810544,2.2687911987304688,f047dca339102449d0b68d9ac16bbf5c7254e049354ada635c8653538e69f5f7,True
candidate,r5,classic,210317,310317,0.0,0,0,0,3,0.5159854888916016,1.5537738800048828,e86721a486ff82f31247b04a1c54782ace382a7bd7e61996ce0d5ae929b14705,True
candidate,r5,classic,210318,310318,0.0,0,0,0,5,0.47725439071655235,1.2106895446777344,c7d1d718061a8584de171610c7b4910548a793143b92e539bebd5671ca7fa1ae,True
candidate,r5,classic,210319,310319,0.0,0,0,0,383,0.23105144500732397,0.9710788726806641,fbee99e820063da171b77992972d927ea7dc3592365aa3d91375aeddd8ac1b4f,True
candidate,r5,classic,210320,310320,0.0,0,0,0,394,0.2821087837219238,0.7526874542236328,75eab502e304d8858d9d1aae6e3bb89f98713ebb967aeae38dfac11c2307c3ae,True
candidate,r5,coin-heaven,210401,310401,1.0,0,0,50,1,0.6175041198730469,0.7109642028808594,6da00effa473ac3c1244291ad77475eb54275dc8857198cea70c0e3a854d2a9b,True
candidate,r5,coin-heaven,210402,310402,1.0,0,0,50,0,0.4522323608398436,0.7381439208984375,cd9ac602ed885bfa687425b596b8f5f28d7016fa4dc5cdae469b90086a8ecc1f,True
candidate,r5,coin-heaven,210403,310403,0.04,0,1,2,2,1.2186050415039062,1.2600421905517578,cec1df8ee3cacf8ce1a365a270f01cd1ad0f1779942c041b7b06ccc832344b4c,True
candidate,r5,coin-heaven,210404,310404,1.0,0,0,50,0,0.6690740585327145,1.123189926147461,69a3f73db208c7b5c1e19bfbd3d5768a744d9f4cdaf4a7319af1feb7b4e7a310,True
candidate,r5,coin-heaven,210405,310405,1.0,0,0,50,0,0.3281831741333008,0.8449554443359375,2124791a325ebb899c69fecfda106974dc71e494e17e557fe7f628b4fbd54da8,True
candidate,r5,coin-heaven,210406,310406,1.0,0,0,50,0,0.5383014678955077,1.1088848114013672,2f4b05af7a83d805685adc0b5be90849f66f37e25207dad499ed37742b7f8263,True
candidate,r5,coin-heaven,210407,310407,1.0,0,0,50,0,0.23412704467773415,0.308990478515625,e292c9323f7ce570819a498543ec77d6b27205ea7272d6388621d885e0010cce,True
candidate,r5,coin-heaven,210408,310408,1.0,0,0,50,3,0.32234191894531244,0.8869171142578125,ce1f86e4671efc9087b9d93960f3a972d2721b6c1b4f89b01e6670c3211f1891,True
candidate,r5,coin-heaven,210409,310409,1.0,0,0,50,2,0.32634735107421875,1.1019706726074219,1a7294e108b1395678da0902cf09246890ad2e0a1f32f30cf9d2a23d66fa02cc,True
candidate,r5,coin-heaven,210410,310410,1.0,0,0,50,0,0.22523403167724607,0.3478527069091797,56d824db8a7e6ddd0d4da36a3f119d62e890ccf08510e81993d7cb2db915e9e6,True
