treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,152038,0,9,0.0,0,400,0,0.21514892578124992,1.2080669403076172,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c,True,0.13494491577148438,0.5142688751220703,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c
control,r1,classic,152039,1,9,0.1111111111111111,0,400,0,0.2581834793090818,1.0612010955810547,44aeb81a6bc05f313a37f2b36cb66e467f1ee18b671865a5ca3bc64bae98a940,True,0.2073764801025389,0.5249977111816406,44aeb81a6bc05f313a37f2b36cb66e467f1ee18b671865a5ca3bc64bae98a940
control,r1,classic,152040,3,9,0.3333333333333333,0,400,0,0.19608736038207997,4.374980926513672,0d2af86314e49378cc77657049074d336cbe96e342eed4c85dfa00fa09d7d3fd,True,0.14781951904296875,0.2999305725097656,0d2af86314e49378cc77657049074d336cbe96e342eed4c85dfa00fa09d7d3fd
control,r1,coin-heaven,153001,50,50,1.0,0,135,0,0.3163576126098633,0.44798851013183594,1865bc04168532487eab8aede3e015c780e6b646dc18f79291a9fe044c2a20bb,True,0.3022193908691406,0.3459453582763672,1865bc04168532487eab8aede3e015c780e6b646dc18f79291a9fe044c2a20bb
control,r1,coin-heaven,153002,50,50,1.0,0,123,0,0.16169548034667966,0.7839202880859375,be7113133231c6560c37b1580d8b10f50c4c0ce0a9b5e00aa1835ba9b48efb66,True,0.6348371505737298,6.102800369262695,be7113133231c6560c37b1580d8b10f50c4c0ce0a9b5e00aa1835ba9b48efb66
control,r1,coin-heaven,153003,50,50,1.0,0,134,0,0.2099275588989257,0.30612945556640625,40ad04d6007c0653db2a6fdbf886c8ee62a030cfb043d53e3c63f8e33768e57a,True,0.4153728485107414,0.8258819580078125,40ad04d6007c0653db2a6fdbf886c8ee62a030cfb043d53e3c63f8e33768e57a
control,r1,coin-heaven,153004,50,50,1.0,0,118,0,0.23523569107055628,0.61798095703125,efc21188457790826695deb8d251c024d221924450b02e81aa572d7c614c9dbd,True,0.5017757415771482,1.8513202667236328,efc21188457790826695deb8d251c024d221924450b02e81aa572d7c614c9dbd
control,r1,coin-heaven,153005,50,50,1.0,0,130,0,0.1837968826293945,0.2338886260986328,89e94552d14420c339f10b7d65081130c29402ad4bafbebc6e78a63a0106eb76,True,0.7394313812255857,5.942106246948242,89e94552d14420c339f10b7d65081130c29402ad4bafbebc6e78a63a0106eb76
control,r1,coin-heaven,153006,50,50,1.0,0,121,0,0.2779960632324219,3.525972366333008,63843846a1c8fe769f05dbef1f1d682f18fcb93ef10392f1da0224dbe7524bd7,True,0.6661415100097656,2.399921417236328,63843846a1c8fe769f05dbef1f1d682f18fcb93ef10392f1da0224dbe7524bd7
control,r1,coin-heaven,153007,50,50,1.0,0,121,0,0.2942085266113281,0.5340576171875,6101122c300131771c0f217c40a41bc0b5bf0b5d22c48cd6c61aaf153099ddc8,True,0.13780593872070312,0.40602684020996094,6101122c300131771c0f217c40a41bc0b5bf0b5d22c48cd6c61aaf153099ddc8
control,r1,coin-heaven,153008,50,50,1.0,0,135,0,0.35552978515625,1.055002212524414,d10a97756858564f931275ade27a438140fcbd8af70b125c25d7f2a2a64735a1,True,0.2892017364501953,1.3496875762939453,d10a97756858564f931275ade27a438140fcbd8af70b125c25d7f2a2a64735a1
control,r1,coin-heaven,153009,50,50,1.0,0,114,0,0.2468824386596678,1.3401508331298828,58fe8f688249f6db49e2e1890eb32b937da5e6d1b39a4a874f5e92b379d00ebd,True,0.1616835594177246,5.255222320556641,58fe8f688249f6db49e2e1890eb32b937da5e6d1b39a4a874f5e92b379d00ebd
control,r1,coin-heaven,153010,50,50,1.0,0,119,0,0.5603551864624021,2.789735794067383,4413235a3f7c9fb2d8df22dea8dfdaf3d911e853c095b07e01e966f39a1cc5e8,True,0.3542900085449217,0.6930828094482422,4413235a3f7c9fb2d8df22dea8dfdaf3d911e853c095b07e01e966f39a1cc5e8
control,r1,coin-heaven,153011,50,50,1.0,0,124,0,0.8586645126342765,1.4920234680175781,0555ee2e15f49db16ed5cc3ebb827ebed5a124eaf26b7340d11a23612301b4c1,True,0.3925204277038573,3.2939910888671875,0555ee2e15f49db16ed5cc3ebb827ebed5a124eaf26b7340d11a23612301b4c1
control,r1,coin-heaven,153012,50,50,1.0,0,134,0,0.7844328880310055,1.538991928100586,bcbd023ff8f415b1656635f3fad68d664eb129bd93d39dd3ce68d0896370d447,True,0.2776861190795898,0.9720325469970703,bcbd023ff8f415b1656635f3fad68d664eb129bd93d39dd3ce68d0896370d447
control,r1,coin-heaven,153013,50,50,1.0,0,131,0,0.2745389938354492,0.9851455688476562,d6106b7e7cc45e17ccf06f2c89999f5d0621b46c7e35783258345da7eda1ba46,True,0.3380775451660156,0.8399486541748047,d6106b7e7cc45e17ccf06f2c89999f5d0621b46c7e35783258345da7eda1ba46
control,r1,coin-heaven,153014,50,50,1.0,0,121,0,0.14901161193847656,0.22292137145996094,c0bc21ac5b9f4bd368be120a00678494c9f615311cf81c99163fed39d8541852,True,0.21123886108398438,0.5311965942382812,c0bc21ac5b9f4bd368be120a00678494c9f615311cf81c99163fed39d8541852
control,r1,coin-heaven,153015,50,50,1.0,0,142,0,0.27679204940795893,0.4029273986816406,0cfa5f2250df685bb933b309e32d7ec1dfa00f5166e75ad55400dc75522a4b81,True,0.2847552299499511,0.7963180541992188,0cfa5f2250df685bb933b309e32d7ec1dfa00f5166e75ad55400dc75522a4b81
control,r1,coin-heaven,153016,50,50,1.0,0,125,0,0.3869056701660155,1.1858940124511719,dc660f3c586311dc6cd4b8623b712a377fd53daf9f5fb988affb86029fc8533a,True,0.35266876220703125,0.6530284881591797,dc660f3c586311dc6cd4b8623b712a377fd53daf9f5fb988affb86029fc8533a
control,r1,coin-heaven,153017,50,50,1.0,0,123,0,0.24192333221435544,0.5161762237548828,3d475a54de8a1789d32e91237d6723274c39efe434aff7c07c1b728222c8414f,True,0.22966861724853496,0.5438327789306641,3d475a54de8a1789d32e91237d6723274c39efe434aff7c07c1b728222c8414f
control,r1,coin-heaven,153018,50,50,1.0,0,123,0,0.3659963607788086,1.0471343994140625,b6cffae3ab5e6298cb51ab7b564dd13920abdd96d8d3edfd611d52d00fbb395c,True,0.2741813659667968,0.6909370422363281,b6cffae3ab5e6298cb51ab7b564dd13920abdd96d8d3edfd611d52d00fbb395c
control,r1,coin-heaven,153019,50,50,1.0,0,130,0,0.1825809478759765,0.39196014404296875,091ab783f3c31400dab10e7cb85054f4aa2a29c7badda9cf79e308c933cd0237,True,0.4847407341003418,1.2500286102294922,091ab783f3c31400dab10e7cb85054f4aa2a29c7badda9cf79e308c933cd0237
control,r1,coin-heaven,153020,50,50,1.0,0,128,0,0.22948980331420837,1.1126995086669922,db724d1332ddc5668d4a27e49a55a121eff3a2a9646977a2fa995aa41b4f4720,True,0.6115794181823729,1.9538402557373047,db724d1332ddc5668d4a27e49a55a121eff3a2a9646977a2fa995aa41b4f4720
