treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,coin-heaven,173019,50,50,1.0,0,117,0,0.6699085235595689,1.2137889862060547,7c7c4c886b34318481f0be45b0f0d2a4a492cd050a1a4d23f861b5f9ca3ba8b4,True,0.20661354064941373,0.7848739624023438,7c7c4c886b34318481f0be45b0f0d2a4a492cd050a1a4d23f861b5f9ca3ba8b4
control,r1,coin-heaven,173020,50,50,1.0,0,115,0,0.9219646453857416,4.732847213745117,95e3c919aa0fab094fb887d45d2b68395a1b7401e3aac9459609817542616d6e,True,0.17950534820556635,0.3859996795654297,95e3c919aa0fab094fb887d45d2b68395a1b7401e3aac9459609817542616d6e
control,r1,coin-heaven,173021,50,50,1.0,0,129,0,1.3197422027587882,2.312898635864258,68608e0771f41d1aa88b994a8c99d225c970648b59e1c4c77b3e0df698b7df84,True,0.1961231231689453,0.3330707550048828,68608e0771f41d1aa88b994a8c99d225c970648b59e1c4c77b3e0df698b7df84
control,r1,coin-heaven,173022,50,50,1.0,0,113,0,0.7652282714843749,1.6798973083496094,f9f18acf3783d55ea488b0d65a5b14f074c668e0830ce9aa62122f9571c6ac6a,True,0.20470619201660145,0.3261566162109375,f9f18acf3783d55ea488b0d65a5b14f074c668e0830ce9aa62122f9571c6ac6a
control,r1,coin-heaven,173023,50,50,1.0,0,109,0,0.5764007568359374,0.9400844573974609,6383560ff9dff67d6fc32ec56dfb4b5a91d404f74dc5b872a23613860cdcaf7f,True,0.2576351165771482,0.44798851013183594,6383560ff9dff67d6fc32ec56dfb4b5a91d404f74dc5b872a23613860cdcaf7f
control,r1,coin-heaven,173024,50,50,1.0,0,128,0,0.35067796707153315,0.4971027374267578,52ddfac6e4c7f9f7b27a7a9a6178acb1b77f7450749948eb04a8cb3f38bbb667,True,0.21505355834960938,0.28896331787109375,52ddfac6e4c7f9f7b27a7a9a6178acb1b77f7450749948eb04a8cb3f38bbb667
control,r1,coin-heaven,173025,50,50,1.0,0,129,0,0.3818035125732417,1.5881061553955078,93faa3e0b4fb1755640a5733b3e4f23ffe6a9ba498ecd3093fb9215391f9c0a7,True,0.2326488494873047,0.7648468017578125,93faa3e0b4fb1755640a5733b3e4f23ffe6a9ba498ecd3093fb9215391f9c0a7
control,r1,coin-heaven,173026,50,50,1.0,0,117,0,0.30822753906249944,0.6821155548095703,3f301a5bfc34f9f5925ad968282612dff88c1e9bb0fa7df54f26075dda2bbeaa,True,0.21748542785644517,0.3349781036376953,3f301a5bfc34f9f5925ad968282612dff88c1e9bb0fa7df54f26075dda2bbeaa
control,r1,coin-heaven,173027,50,50,1.0,0,121,0,0.20599365234375,0.3352165222167969,2baca998680d6546acd4fecc41cbbecf9614a5cca4093b7f29e6edd168b4d01d,True,0.2799034118652344,0.4878044128417969,2baca998680d6546acd4fecc41cbbecf9614a5cca4093b7f29e6edd168b4d01d
control,r1,coin-heaven,173028,50,50,1.0,0,115,0,0.2143144607543945,0.3561973571777344,84cf87a4113ed7c76aceaf67bb5d859491b5fd6197fce9c394f517d17a527dfb,True,0.2591848373413085,0.396728515625,84cf87a4113ed7c76aceaf67bb5d859491b5fd6197fce9c394f517d17a527dfb
control,r1,coin-heaven,173029,50,50,1.0,0,123,0,0.22678375244140606,0.3948211669921875,48db79c397905d48b3ee9bf75536ce440a3a91886cfd26b62282c2e821c388d7,True,0.2310752868652342,0.5059242248535156,48db79c397905d48b3ee9bf75536ce440a3a91886cfd26b62282c2e821c388d7
control,r1,coin-heaven,173030,50,50,1.0,0,133,0,0.4612922668457026,1.3020038604736328,fa25d869aac3ed9eeea4acb4ad069e7efabdec05cc49e6aba4f55e9e125a2876,True,0.31361579895019526,0.3502368927001953,fa25d869aac3ed9eeea4acb4ad069e7efabdec05cc49e6aba4f55e9e125a2876
control,r1,coin-heaven,173031,50,50,1.0,0,131,0,0.18393993377685547,0.3039836883544922,b3eb04fc5de54f2b766ba6af47b3ad635b717b0952075a0a9e2bd371600b1c74,True,0.2067089080810547,0.3390312194824219,b3eb04fc5de54f2b766ba6af47b3ad635b717b0952075a0a9e2bd371600b1c74
control,r1,coin-heaven,173032,50,50,1.0,0,108,0,0.23360252380371058,0.35309791564941406,f1316b35e8af56cd3e067f04f70979baa2146a37fab3bf2585cdac87715b9213,True,0.16243457794189445,0.43487548828125,f1316b35e8af56cd3e067f04f70979baa2146a37fab3bf2585cdac87715b9213
control,r1,coin-heaven,173033,50,50,1.0,0,112,0,0.25177001953125,1.3370513916015625,2c36a1c754fa6a5fca6347b1d4a3d95f4a5f23f9cf1711e50757272eb230b102,True,0.1992344856262206,0.6787776947021484,2c36a1c754fa6a5fca6347b1d4a3d95f4a5f23f9cf1711e50757272eb230b102
control,r1,coin-heaven,173034,50,50,1.0,0,127,0,0.20475387573242188,0.335693359375,786e28a890d5820430295decfbcd3dd915b014facd314f455e2efac1928c99f8,True,0.2121925354003903,0.33974647521972656,786e28a890d5820430295decfbcd3dd915b014facd314f455e2efac1928c99f8
control,r1,coin-heaven,173035,50,50,1.0,0,134,0,0.23406744003295887,0.3609657287597656,726ef3a46e160bf50a2dd839df73c3f3f882411cf4b77faac0329d101c2933dc,True,0.23243427276611325,0.39196014404296875,726ef3a46e160bf50a2dd839df73c3f3f882411cf4b77faac0329d101c2933dc
control,r1,coin-heaven,173036,50,50,1.0,0,130,0,0.1440763473510742,0.24080276489257812,bb1b33afdc727fad2c4ceeeebcee972c73b39f5d56b126e83140f04e97e87d83,True,0.20245313644409177,0.35309791564941406,bb1b33afdc727fad2c4ceeeebcee972c73b39f5d56b126e83140f04e97e87d83
control,r1,coin-heaven,173037,50,50,1.0,0,129,0,0.17766952514648432,0.2770423889160156,a8602317ce23b658941139a68e90f82fc25c5cff6a74a8eb90b362f9b11f45ff,True,0.2769947052001952,0.5419254302978516,a8602317ce23b658941139a68e90f82fc25c5cff6a74a8eb90b362f9b11f45ff
control,r1,coin-heaven,173038,50,50,1.0,0,117,0,0.15745162963867168,0.2880096435546875,68ae999be6b145c61aae4eea76360641d89785029ad6f63a56e73e66aab101bc,True,0.22830963134765567,0.5109310150146484,68ae999be6b145c61aae4eea76360641d89785029ad6f63a56e73e66aab101bc
control,r1,coin-heaven,173039,50,50,1.0,0,116,0,0.12642145156860352,0.2570152282714844,45a5dd2038ff94bbe726530e9ac12f4c724e54e238ff4bda4ab0337f4b3e7280,True,0.23216009140014648,0.41413307189941406,45a5dd2038ff94bbe726530e9ac12f4c724e54e238ff4bda4ab0337f4b3e7280
control,r1,coin-heaven,173040,50,50,1.0,0,113,0,0.1657962799072265,0.5941390991210938,45d4747d7066e227a13898afc15a778e2ba52f5a4dae786f443e5694e65243d7,True,0.16832351684570307,0.347137451171875,45d4747d7066e227a13898afc15a778e2ba52f5a4dae786f443e5694e65243d7
control,r1,loot-crate,174001,21,50,0.42,0,400,0,0.26311874389648426,0.45800209045410156,24673f5a0e21ba9cddf6c095fb66ae8fcd50fba78dca43f9d9b6bddebe9460e2,True,0.43265819549560486,1.1930465698242188,24673f5a0e21ba9cddf6c095fb66ae8fcd50fba78dca43f9d9b6bddebe9460e2
control,r1,loot-crate,174002,26,50,0.52,1,322,0,0.21970272064208976,0.7140636444091797,b64e168925f51aa1b148a7832202c0197f09d25c566e987aa66a18427e30761b,True,0.5064368247985839,2.0368099212646484,b64e168925f51aa1b148a7832202c0197f09d25c566e987aa66a18427e30761b
control,r1,loot-crate,174003,12,50,0.24,0,400,0,0.2210617065429687,0.5991458892822266,a1c315b7e67cc9c96681ba3ebd893106b9e23571c105db57cf153bde987a2822,True,0.5591154098510724,1.6608238220214844,a1c315b7e67cc9c96681ba3ebd893106b9e23571c105db57cf153bde987a2822
control,r1,loot-crate,174004,3,50,0.06,0,400,0,0.1957535743713379,0.5497932434082031,a2c9816b1634bca24a28016df00e0b665d271bcfe0774a27c0cf0617620c5223,True,0.6763577461242671,3.0062198638916016,a2c9816b1634bca24a28016df00e0b665d271bcfe0774a27c0cf0617620c5223
control,r1,loot-crate,174005,8,50,0.16,0,400,0,0.3369569778442382,0.9052753448486328,ed22c07207aafa5d1b1d5f5f8120ca518c9dbc530a546601285c5a0e2761dff4,True,0.9392380714416501,2.9549598693847656,ed22c07207aafa5d1b1d5f5f8120ca518c9dbc530a546601285c5a0e2761dff4
control,r1,loot-crate,174006,4,50,0.08,0,400,0,0.20231008529663075,0.4532337188720703,dcb76cb5dac54a375423962c4704a18a282be2bd56fe62e071313572a21bd96a,True,0.3960132598876953,0.9620189666748047,dcb76cb5dac54a375423962c4704a18a282be2bd56fe62e071313572a21bd96a
control,r1,loot-crate,174007,4,50,0.08,1,70,0,0.3142833709716796,0.43582916259765625,26e8ec69cc048c92da0aa767b39fc5c832371ba88ac2f8863804738c3ff9e648,True,0.4858851432800293,0.6818771362304688,26e8ec69cc048c92da0aa767b39fc5c832371ba88ac2f8863804738c3ff9e648
control,r1,loot-crate,174008,14,50,0.28,0,400,0,0.224161148071289,0.6856918334960938,6d85acc7649af08f836cab16159d884da0028253658a25e6a52711905955eafe,True,0.6722688674926746,3.439188003540039,6d85acc7649af08f836cab16159d884da0028253658a25e6a52711905955eafe
