model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,repeat,31018,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.487822400013101,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,36,36,35,22,0,0,0,0.21982192993164062,0.4538536071777343,1.8773078918457031,,,,,,,,,
run-01,repeat,31019,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.714209799989476,1,1,DagobertDuckDQN,evaluation,132,132,50,50,0,132,0.0,True,survived,26,38,30,37,1,0,0,0.2238750457763672,0.4393577575683592,1.443624496459961,,,,,,,,,
run-01,repeat,31020,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.544859100002213,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,36,28,47,28,0,0,0,0.2193450927734375,0.5057573318481442,1.7385482788085938,,,,,,,,,
run-01,repeat,31021,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.504793799991603,1,1,DagobertDuckDQN,evaluation,126,126,50,50,0,126,0.0,True,survived,27,43,27,29,0,0,0,0.2732276916503906,0.5814433097839355,1.1858940124511719,,,,,,,,,
run-01,repeat,31022,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.5958819999941625,1,1,DagobertDuckDQN,evaluation,109,109,50,50,0,109,0.0,True,survived,26,34,28,21,0,0,0,0.23508071899414062,0.5038738250732421,1.0547637939453125,,,,,,,,,
run-01,repeat,31023,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.117928599996958,1,1,DagobertDuckDQN,evaluation,141,141,50,50,0,141,0.0,True,survived,33,42,34,32,0,0,0,0.2498626708984375,0.6077289581298828,1.3725757598876953,,,,,,,,,
run-01,repeat,31024,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.115731199999573,1,1,DagobertDuckDQN,evaluation,134,134,50,50,0,134,0.0,True,survived,28,39,34,33,0,0,0,0.2378225326538086,0.46478509902954096,1.4429092407226562,,,,,,,,,
run-01,repeat,31025,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.054381800000556,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,38,32,29,32,0,0,0,0.217437744140625,0.5228519439697266,1.2819766998291016,,,,,,,,,
run-01,repeat,31026,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.2321673999977065,1,1,DagobertDuckDQN,evaluation,118,118,50,50,0,118,0.0,True,survived,26,29,33,29,1,0,0,0.2162456512451172,0.4874706268310547,0.9999275207519531,,,,,,,,,
run-01,repeat,31027,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.352501500005019,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,25,33,39,33,1,0,0,0.23937225341796875,0.4868507385253906,1.6579627990722656,,,,,,,,,
run-01,repeat,31028,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.107876699999906,1,1,DagobertDuckDQN,evaluation,120,120,50,50,0,120,0.0,True,survived,31,28,29,32,0,0,0,0.22208690643310547,0.5480289459228516,1.0170936584472656,,,,,,,,,
run-01,repeat,31029,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.108143499994185,1,1,DagobertDuckDQN,evaluation,141,141,50,50,0,141,0.0,True,survived,34,42,35,30,0,0,0,0.2224445343017578,0.4620552062988281,1.2896060943603516,,,,,,,,,
run-01,repeat,31030,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.279252699998324,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,37,28,34,32,0,0,0,0.22482872009277344,0.4818439483642578,1.04522705078125,,,,,,,,,
run-01,repeat,31031,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.568792099991697,1,1,DagobertDuckDQN,evaluation,123,123,50,50,0,123,0.0,True,survived,24,34,38,27,0,0,0,0.27370452880859375,0.5371570587158203,1.1801719665527344,,,,,,,,,
run-01,repeat,31032,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.401928300008876,1,1,DagobertDuckDQN,evaluation,123,123,50,50,0,123,0.0,True,survived,33,26,33,31,0,0,0,0.2307891845703125,0.557565689086914,0.9472370147705078,,,,,,,,,
run-01,repeat,31033,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.7837388000043575,1,1,DagobertDuckDQN,evaluation,121,121,50,50,0,121,0.0,True,survived,30,33,30,28,0,0,0,0.3495216369628906,0.6749629974365234,1.3802051544189453,,,,,,,,,
run-01,repeat,31034,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.257416799999191,1,1,DagobertDuckDQN,evaluation,117,117,50,50,0,117,0.0,True,survived,20,32,34,31,0,0,0,0.21719932556152344,0.5338668823242171,0.9751319885253906,,,,,,,,,
run-01,repeat,31035,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.841839200002141,1,1,DagobertDuckDQN,evaluation,143,143,50,50,0,143,0.0,True,survived,35,43,35,30,0,0,0,0.3254413604736328,0.6163597106933594,1.3775825500488281,,,,,,,,,
run-01,repeat,31036,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.233024899993325,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,32,37,37,33,0,0,0,0.22339820861816406,0.4179477691650388,1.0094642639160156,,,,,,,,,
run-01,repeat,31037,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.1943757999979425,1,1,DagobertDuckDQN,evaluation,143,143,50,50,0,143,0.0,True,survived,39,38,27,38,1,0,0,0.2200603485107422,0.5167722702026368,1.6667842864990234,,,,,,,,,
run-01,repeat,31038,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.2072426000086125,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,40,39,26,26,0,0,0,0.2186298370361328,0.43904781341552734,1.0190010070800781,,,,,,,,,
run-01,repeat,31039,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.246399499999825,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,25,39,39,26,0,0,0,0.2200603485107422,0.43873786926269503,1.1768341064453125,,,,,,,,,
run-01,repeat,31040,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.76313819999632,1,1,DagobertDuckDQN,evaluation,136,136,50,50,0,136,0.0,True,survived,30,31,42,33,0,0,0,0.2288818359375,0.45430660247802734,1.1277198791503906,,,,,,,,,
run-02,primary,31001,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.149061799995252,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,36,34,23,36,0,0,0,0.22268295288085938,0.47531127929687483,1.012563705444336,,,,,,,,,
run-02,primary,31002,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.255345500001567,1,1,DagobertDuckDQN,evaluation,137,137,50,50,0,137,0.0,True,survived,34,28,34,41,0,0,0,0.2231597900390625,0.45647621154785134,1.3227462768554688,,,,,,,,,
